Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Almond Syrup - Shot (14g),47,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Amaretto Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Caramel Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Cherry Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Cinnamon Syrup - Shot (14g),48,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Decaffeinated Espresso Shot - Shot (10g),1,0,0,0%,0,0%,0,0,0%,0,0%,10,0%,0,0%,0,0%,0,0,0%,0%
Espresso Shot - Shot (10g),1,0,0,0%,0,0%,0,0,0%,0,0%,10,0%,0,0%,0,0%,0,0,0%,0%
Ginger Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Irish Creme Syrup - Shot (14g),47,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Lime Syrup - Shot (14g),37,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,9,3%,0,0%,9,0,0%,0%
Mango Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Orange Syrup - Shot (14g),42,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,11,4%,0,0%,11,0,0%,0%
Peach Syrup - Shot (14g),48,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Peppermint Syrup - Shot (14g),45,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,11,4%,0,0%,11,0,0%,0%
Pumpkin Spice Syrup - Shot (14g),48,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Raspberry Syrup - Shot (14g),49,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
Sugar Free Caramel Syrup - Shot (14g),5,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Sugar Free Raspberry Syrup - Shot (14g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,1,1%,0,0%,0,0,0%,0%
Sugar Free Vanilla Syrup - Shot (14g),2,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,1,4%,0,0,0%,0%
Vanilla Syrup - Shot (14g),47,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,12,4%,0,0%,12,0,0%,0%
