Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Arctic Sushi Burrito - Burrito (259g),358,90,10,15%,1.5,7%,0,30,10%,1080,45%,125,3%,49,17%,2,8%,11,14,2%,15%
Atlantic Sushi Burrito - Burrito (256g),391,126,14,21%,1.5,9%,0,50,17%,1050,44%,300,6%,49,16%,3,10%,13,17,2%,15%
Avocado - 0.7 oz Serving (22g),36,27,3,5%,0.5,2%,0,0,0%,0,0%,110,2%,2,1%,1,5%,0,0,0%,0%
Avocado - 0.7 oz Serving (22g),36,27,3,5%,0.5,2%,0,0,0%,0,0%,110,2%,2,1%,1,5%,0,0,0%,0%
Avocado - 0.7 oz Serving (22g),36,27,3,5%,0.5,2%,0,0,0%,0,0%,110,2%,2,1%,1,5%,0,0,0%,0%
Avocado Yubu Sushi - 2.2 oz Portion (65g),100,32,3.5,5%,0.5,2%,0,0,0%,190,8%,130,3%,12,4%,2,6%,3,2,2%,4%
Blossom Roll - Roll (250g),423,162,18,27%,2,10%,0,45,15%,1070,44%,170,4%,42,14%,1,4%,10,22,2%,10%
California Roll - Roll (173g),260,81,9,14%,1,6%,0,10,3%,660,28%,80,2%,37,12%,1,5%,6,7,2%,10%
Cilantro - .2 oz Portion (2g),1,0,0,0%,0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%
Cilantro - .2 oz Portion (2g),1,0,0,0%,0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%
Coco Roll - Roll (241g),376,135,15,23%,2,10%,0,35,12%,1040,43%,150,3%,39,13%,1,4%,8,17,2%,10%
Crab Salad - 1.5 oz Portion (43g),99,63,7,11%,1,5%,0,10,3%,220,9%,0,0%,5,2%,0,0%,2,4,0%,0%
Crab Salad - 2 oz Serving (57g),132,81,9,14%,1.5,6%,0,10,4%,300,12%,0,0%,7,2%,0,0%,3,5,0%,0%
Crab Salad - 2 oz Serving (57g),132,81,9,14%,1.5,6%,0,10,4%,300,12%,0,0%,7,2%,0,0%,3,5,0%,0%
