Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Alfredo Sauce - 3 oz Serving (85g),209,162,18,28%,11,54%,0,60,20%,320,14%,30,1%,5,2%,0,0%,0,5,15%,0%
Arrabbiata Sauce - 3 oz Serving (85g),53,27,3,5%,0,2%,0,0,0%,320,13%,40,1%,7,2%,< 1,3%,5,1,2%,8%
Baby Spinach - .5 oz Serving (13g),3,0,0,0%,0,0%,0,0,0%,10,0%,60,1%,0,0%,0,1%,0,0,2%,2%
Beccorino GF Pizza - Pizza (369g),762,378,42,64%,22,112%,0,145,48%,2200,92%,340,7%,62,21%,5,18%,5,32,30%,20%
Beccorino Pizza - Pizza (406g),1132,396,44,67%,17,87%,0,115,38%,2910,121%,470,10%,134,45%,8,28%,9,43,8%,120%
Bianca Rosa Pizza - Pizza (469g),1331,576,64,98%,14,71%,0,75,24%,2950,123%,520,11%,149,50%,8,28%,13,38,2%,130%
Blaise Pizza - Pizza (419g),1098,234,26,41%,10,50%,0,70,23%,2640,110%,440,9%,154,51%,7,25%,25,43,8%,120%
Blaise Pizza GFF - Pizza (382g),728,216,24,37%,15,75%,0,100,33%,1940,81%,310,7%,83,28%,4,15%,22,32,30%,20%
Bone In Wings Plain - 5 Piece Portion (159g),374,0,0,1%,7,33%,0,115,38%,1180,49%,10,0%,8,3%,0,0%,0,29,0%,50%
Bone In Wings with BBQ Sauce - 5 Piece Portion (218g),473,0,0,1%,7,37%,0,125,41%,1590,66%,10,0%,26,9%,0,0%,15,32,0%,60%
Bone In Wings with Honey Sriracha Sauce - 5 Piece Portion (218g),495,0,0,1%,7,37%,0,125,41%,1550,65%,10,0%,32,11%,0,0%,22,36,0%,60%
Bone In Wings with Hot Buffalo Sauce - 10 Piece Portion (437g),1112,279,31,48%,20,98%,0,245,82%,3670,153%,25,1%,29,10%,3,13%,0,65,0%,110%
Bone In Wings with Hot Garlic Sauce - 10 Piece Portion (437g),1059,207,23,36%,26,129%,0,275,92%,3560,148%,55,1%,32,11%,4,15%,0,65,4%,120%
Bone In Wings with Mild Buffalo Sauce - 10 Piece Portion (437g),1076,180,20,31%,20,98%,0,275,92%,3910,163%,25,1%,22,7%,0,0%,0,71,0%,130%
Bone In Wings with Parmesan Sauce - 10 Piece Portion (437g),1438,639,71,109%,42,211%,0,305,102%,3050,127%,90,2%,29,10%,1,5%,0,65,10%,120%
Boneless Wings - 8 Piece Portion (340g),695,261,29,45%,5,27%,0,130,43%,1540,64%,0,0%,51,17%,0,0%,0,48,0%,0%
Boneless Wings with BBQ Sauce - 4 Piece Portion (138g),256,72,8,13%,1.5,8%,0,35,12%,720,30%,0,0%,30,10%,0,0%,15,13,0%,0%
Boneless Wings with Honey Sriracha Sauce - 8 Piece Portion (276g),552,144,16,25%,3,15%,0,70,24%,1510,63%,0,0%,68,23%,0,0%,37,27,0%,0%
Boneless Wings with Hot Buffalo Sauce - 4 Piece Portion (138g),335,198,22,35%,4,20%,0,35,12%,950,40%,0,0%,19,6%,2,6%,0,14,0%,0%
Boneless Wings with Hot Garlic Sauce - 8 Piece Portion (276g),620,342,38,58%,14,69%,0,100,33%,1800,75%,30,1%,42,14%,4,14%,0,29,2%,4%
Boneless Wings with Mild Buffalo Sauce - 4 Piece Portion (170g),386,207,23,36%,4.5,21%,0,55,18%,1260,53%,0,0%,22,7%,0,0%,0,20,0%,0%
Boneless Wings with Parmesan Sauce - 4 Piece Portion (170g),601,450,50,77%,18,90%,0,80,26%,820,34%,40,1%,23,8%,< 1,3%,0,17,6%,4%
Braised Italian Beef - 5 oz Serving (138g),157,90,10,15%,3.5,17%,0,35,11%,440,19%,105,2%,8,3%,< 1,3%,4,12,2%,25%
Braised Italian Beef Pasta - 1/2 Container (245g),601,135,15,23%,6,29%,0,35,11%,550,23%,130,3%,97,32%,5,19%,4,23,8%,25%
