Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Apple Fennel Salad - Large (310g),364,189,21,33%,1.5,7%,0,0,0%,85,4%,420,9%,42,14%,9,33%,29,4,6%,10%
Bacon Jam - 2 oz Portion (57g),215,126,14,22%,5,25%,0,40,13%,690,29%,25,1%,7,2%,0,0%,6,12,0%,2%
Balsamic Glazed Onions - 2 oz Portion (57g),30,0,0,1%,0,0%,0,0,0%,0,0%,95,2%,6,2%,< 1,3%,3,< 1,2%,2%
Battered Onion Rings - 4 oz Portion (113g),269,117,13,20%,2,11%,0,0,0%,650,27%,0,0%,33,11%,1,5%,4,6,0%,0%
Beef Au Jus - 2 oz Ladle (56g),36,0,0,0%,0,0%,0,0,0%,1140,47%,45,1%,6,2%,1,5%,2,2,2%,2%
Beef Au Jus - 2 oz Ladle (56g),36,0,0,0%,0,0%,0,0,0%,1140,47%,45,1%,6,2%,1,5%,2,2,2%,2%
Beyond Meat Burger - Sandwich (398g),862,486,54,83%,11,57%,0,10,3%,1340,56%,480,10%,57,19%,5,20%,12,39,15%,30%
Braised Beef Brisket - 10 oz Portion (343g),707,243,27,41%,9,44%,0,320,106%,3100,129%,860,18%,0,0%,0,0%,0,109,4%,50%
Brisket Cheesesteak Sandwich - Sandwich (392g),887,324,36,55%,23,116%,0,200,67%,2290,95%,590,13%,76,25%,3,10%,8,62,15%,45%
Brown Rice - 4 oz Portion (113g),387,32,3.5,6%,0,0%,0,0,0%,1550,65%,230,5%,80,27%,5,17%,0,10,0%,0%
Caesar Salad - Large (255g),619,423,47,72%,17,83%,0,65,21%,1680,70%,320,7%,31,10%,5,18%,3,30,50%,6%
Caesar with Salmon Wrap - Wrap (322g),781,342,38,59%,13,63%,0,90,30%,1740,73%,760,16%,62,21%,4,15%,2,50,25%,6%
Caesar Wrap with Chicken - Wrap (379g),851,297,33,51%,13,63%,0,225,75%,1360,57%,830,18%,61,20%,4,15%,2,76,25%,8%
Chili Rubbed Mahi Mahi - 6 oz Portion (170g),191,90,10,15%,1,5%,0,105,34%,660,28%,0,0%,0,0%,0,0%,0,25,2%,10%
Chimichurri Sauce - 2 oz Portion (57g),30,9,1,2%,0,0%,0,0,0%,510,21%,135,3%,4,1%,< 1,3%,0,1,4%,8%
Chimichurri Sauce - 2 oz Portion (57g),30,9,1,2%,0,0%,0,0,0%,510,21%,135,3%,4,1%,< 1,3%,0,1,4%,8%
Chipotle Ranch Dressing - 2 oz Portion (57g),267,261,29,44%,5,24%,0,10,3%,570,24%,0,0%,4,1%,0,0%,2,0,0%,0%
Chipotle Ranch Dressing - 2 oz Portion (57g),267,261,29,44%,5,24%,0,10,3%,570,24%,0,0%,4,1%,0,0%,2,0,0%,0%
Cranberry Quinoa - 3.5 oz Portion (99g),242,27,3,5%,0,1%,0,0,0%,630,26%,75,2%,54,18%,4,14%,39,2,0%,4%
Dinner Roll - Roll (57g),220,54,6,9%,1,6%,0,15,6%,360,15%,0,0%,35,12%,1,4%,7,5,0%,0%
Dinner Roll - Roll (57g),220,54,6,9%,1,6%,0,15,6%,360,15%,0,0%,35,12%,1,4%,7,5,0%,0%
Flank Steak - 5 oz Portion (121g),275,144,16,24%,7,33%,0,70,23%,930,39%,320,7%,6,2%,0,0%,0,26,0%,0%
Flank Steak - 5 oz Portion (121g),275,144,16,24%,7,33%,0,70,23%,930,39%,320,7%,6,2%,0,0%,0,26,0%,0%
Flank Steak - 5 oz Portion (121g),275,144,16,24%,7,33%,0,70,23%,930,39%,320,7%,6,2%,0,0%,0,26,0%,0%
Garlic and Parsley Fries - 5 oz Portion (142g),130,0,0,0%,0,0%,0,0,0%,720,30%,750,16%,30,10%,3,11%,2,3,2%,8%
Grilled Asparagus - 2 oz Portion (57g),17,0,0,1%,0,0%,0,0,0%,25,1%,120,3%,3,1%,1,4%,1,1,2%,2%
Grilled Chicken Breast - 6 oz Portion (169g),281,45,5,8%,1.5,9%,0,195,65%,80,3%,580,12%,0,0%,0,0%,0,54,2%,4%
Grilled Chicken Breast - 6 oz Portion (169g),281,45,5,8%,1.5,9%,0,195,65%,80,3%,580,12%,0,0%,0,0%,0,54,2%,4%
Grilled Chicken Breast - 6 oz Portion (169g),281,45,5,8%,1.5,9%,0,195,65%,80,3%,580,12%,0,0%,0,0%,0,54,2%,4%
Grilled Salmon - 6 oz Portion (169g),319,135,15,24%,2.5,13%,0,95,32%,690,29%,760,16%,0,0%,0,0%,0,42,2%,4%
Grilled Salmon - 6 oz Portion (169g),319,135,15,24%,2.5,13%,0,95,32%,690,29%,760,16%,0,0%,0,0%,0,42,2%,4%
Grilled Salmon - 6 oz Portion (169g),319,135,15,24%,2.5,13%,0,95,32%,690,29%,760,16%,0,0%,0,0%,0,42,2%,4%
Honey Mustard Sauce - 2 oz Portion (57g),226,198,22,33%,4.5,23%,0,30,9%,310,13%,35,1%,7,2%,0,0%,5,< 1,2%,0%
Honey Mustard Sauce - 2 oz Portion (57g),226,198,22,33%,4.5,23%,0,30,9%,310,13%,35,1%,7,2%,0,0%,5,< 1,2%,0%
House Steak Sauce - 2 oz Portion (57g),56,0,0,0%,0,0%,0,0,0%,530,22%,95,2%,13,4%,0,0%,9,0,0%,0%
House Steak Sauce - 2 oz Portion (57g),56,0,0,0%,0,0%,0,0,0%,530,22%,95,2%,13,4%,0,0%,9,0,0%,0%
Mixed Vegetables - 3 oz Portion (91g),77,32,3.5,6%,0,0%,0,0,0%,1310,55%,110,2%,12,4%,7,25%,< 1,4,2%,2%
Paella Mixta - 8 oz Portion (227g),578,207,23,35%,7,35%,0,70,24%,1440,60%,45,1%,65,22%,4,13%,1,23,2%,2%
Pollo a la Brasa - Half Portion (284g),684,369,41,64%,10,52%,0,235,78%,1770,74%,600,13%,< 1,0%,0,1%,0,72,4%,20%
Red Wine Butter Mushrooms - 2 oz Portion (57g),68,54,6,9%,3,16%,0,15,5%,20,1%,170,4%,3,1%,1,4%,1,1,0%,4%
Red Wine Shallot Butter - 2 oz Portion (57g),330,324,36,55%,22,109%,0,95,32%,85,4%,20,0%,< 1,0%,0,0%,0,< 1,0%,0%
Red Wine Shallot Butter - 2 oz Portion (57g),330,324,36,55%,22,109%,0,95,32%,85,4%,20,0%,< 1,0%,0,0%,0,< 1,0%,0%
Roasted Garlic Mashed Potatoes - 4 oz Portion (113g),162,63,7,11%,4.5,22%,0,20,7%,400,17%,440,9%,23,8%,2,7%,< 1,3,2%,0%
Seasoned Broccoli - 3 oz Portion (85g),43,22,2.5,4%,0,1%,0,0,0%,4180,174%,210,4%,5,2%,2,9%,1,2,2%,2%
Shrimp Scampi - 9 oz Portion (251g),795,603,67,103%,24,118%,0,345,116%,2750,115%,270,6%,21,7%,1,4%,2,28,15%,10%
Strawberry Fields Salad - Large (393g),233,108,12,19%,8,41%,0,20,7%,550,23%,320,7%,22,7%,5,17%,12,11,8%,8%
Sweet NC BBQ Sauce - 2 oz Portion (57g),81,0,0,0%,0,0%,0,0,0%,380,16%,85,2%,20,7%,0,1%,17,0,0%,0%
Sweet NC BBQ Sauce - 2 oz Portion (57g),81,0,0,0%,0,0%,0,0,0%,380,16%,85,2%,20,7%,0,1%,17,0,0%,0%
Sweet Potato Fries - 3 oz Portion (85g),177,27,3,5%,0,0%,0,0,0%,580,24%,250,5%,34,11%,3,11%,5,3,0%,0%
Tiramisu - Slice (163g),454,2160,240,370%,9,47%,0,145,49%,105,4%,0,0%,44,15%,1,5%,25,7,6%,6%
White Chocolate Raspberry Cheesecake - Slice (176g),618,3501,389,598%,26,130%,0.5,85,28%,500,21%,0,0%,49,16%,2,7%,33,9,10%,6%
