Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Asian Chicken - 6 oz (170g),340,117,13,20%,3.5,18%,0,195,65%,630,26%,0,0%,14,5%,3,11%,10,41,0%,0%
Barq's Root Beer - 22 oz (624g),293,0,0,0%,0,0%,0,0,0%,100,4%,0,0%,80,27%,0,0%,80,0,0%,0%
Beijing Beef - 5.6 oz (159g),470,234,26,40%,5,25%,0,25,8%,660,28%,0,0%,46,15%,1,4%,24,13,0%,0%
Black Pepper Chicken - 6.3 oz (179g),280,171,19,29%,3.5,18%,0,55,18%,1130,47%,0,0%,15,5%,1,4%,7,13,0%,0%
Black Tea - 22 oz (624g),7,0,0,0%,0,0%,0,0,0%,20,1%,0,0%,2,1%,0,0%,0,0,0%,0%
Broccoli Beef - 5.4 oz (153g),150,63,7,11%,1.5,8%,0,10,4%,520,22%,0,0%,13,4%,2,7%,7,9,0%,0%
Brown Steamed Rice - 10.4 oz (295g),420,36,4,6%,1,5%,0,0,0%,15,1%,0,0%,86,29%,4,14%,1,9,0%,0%
Cherry Coca-Cola - 22 oz (624g),279,0,0,0%,0,0%,0,0,0%,75,3%,0,0%,77,26%,0,0%,77,0,0%,0%
Chicken Egg Roll - 2.75 oz / 1 roll (78g),190,810,90,138%,1,5%,0,20,7%,340,14%,0,0%,20,7%,2,7%,2,6,0%,0%
Chicken Potsticker - 3.3 oz/ 3 pcs (94g),150,54,6,9%,1.5,7%,0,20,6%,230,10%,0,0%,19,6%,< 1,3%,2,6,0%,0%
Chili Sauce - 7 g / Pkt (7g),10,0,0,0%,0,0%,0,0,0%,125,5%,0,0%,2,1%,0,0%,2,0,0%,0%
Chocolate Chip Chunk Cookie - 1.2 oz / pc (34g),160,63,7,11%,3,15%,0,< 5,2%,0,0%,0,0%,25,8%,1,4%,125,2,0%,0%
Chow Fun - 8.5 oz (241g),410,81,9,14%,1,5%,0,0,0%,1110,46%,0,0%,73,24%,1,4%,6,9,0%,0%
Chow Mein - 9.4 oz (266g),510,180,20,31%,3.5,18%,0,0,0%,860,36%,0,0%,80,27%,6,21%,9,13,0%,0%
Coca-Cola - 30 oz (850g),370,0,0,0%,0,0%,0,0,0%,95,4%,0,0%,100,33%,0,0%,100,0,0%,0%
Coca-Cola Zero Sugar - 30 oz (850g),0,0,0,0%,0,0%,0,0,0%,100,4%,0,0%,0,0%,0,0%,0,0,0%,0%
Cream Cheese Rangoon - 2.4 oz / 3 pcs (68g),190,72,8,12%,5,25%,0,35,12%,180,8%,0,0%,24,8%,2,7%,1,5,0%,0%
Diet Coke - 42 oz (1191g),0,0,0,0%,0,0%,0,0,0%,170,7%,0,0%,1,0%,0,0%,0,0,0%,0%
Dr Pepper - 22 oz (624g),264,0,0,0%,0,0%,0,0,0%,80,3%,0,0%,72,24%,0,0%,72,0,0%,0%
Eggplant Tofu - 6.1 oz (173g),340,216,24,37%,3.5,18%,0,0,0%,520,22%,0,0%,23,8%,3,11%,17,7,0%,0%
Fanta Fruit Punch - 42 oz (1191g),532,0,0,0%,0,0%,0,0,0%,210,9%,0,0%,146,49%,0,0%,143,0,0%,0%
Fanta Orange - 42 oz (1191g),518,0,0,0%,0,0%,0,0,0%,140,6%,0,0%,141,47%,0,0%,139,0,0%,0%
Fanta Strawberry - 42 oz (1191g),546,0,0,0%,0,0%,0,0,0%,290,12%,0,0%,0,0%,0,0%,150,0,0%,0%
Fried Rice - 9.3 oz (264g),520,144,16,25%,3,15%,0,120,40%,850,35%,0,0%,85,28%,1,4%,3,11,0%,0%
Fuze Lemon Black Tea - 30 oz (850g),210,0,0,0%,0,0%,0,0,0%,125,5%,0,0%,0,0%,0,0%,55,0,0%,0%
Fuze Raspberry Tea - 30 oz (850g),210,0,0,0%,0,0%,0,0,0%,125,5%,0,0%,56,19%,0,0%,55,0,0%,0%
Glaceau Vitaminwater Squeezed Zero - 30 oz (850g),5,0,0,0%,0,0%,0,0,0%,100,4%,0,0%,2,1%,0,0%,0,0,0%,0%
Gold Peak Premium Unsweetened Tea - 30 oz (850g),0,0,0,0%,0,0%,0,0,0%,125,5%,0,0%,0,0%,0,0%,0,0,0%,0%
Golden Treasure Shrimp - 5 oz (142g),360,162,18,28%,3,15%,0,440,147%,440,18%,0,0%,35,12%,2,7%,14,14,0%,0%
